Growth..1991...2001.,Number.of.households,Sex.ratio..females.per.1000.males.,Sex.ratio..0.6.years.,Data.without.level,Below.Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Main.workers,Marginal.workers,Drinking.water.facilities,Safe.Drinking.water,Electricity..Power.Supply.,Electricity..domestic.,Electricity..Agriculture.,Medical.facility,Primary.Health.Centre,Primary.Health.Sub.Centre,Post..telegraph.and.telephone.facility,Bus.services,Paved.approach.road,Persons,Primary.school,Middle.schools,Secondary.Sr.Secondary.schools,College,Persons..literate,Literacy Rate,Institutions,Persons Per EduInst,Medical Institutions,Persons Per MedInst
30.14,70167,844,959,1623,48339,62233,49731,50748,13909,100683,15948,331,293,233,148,16,102,16,78,161,187,201,314084,185,83,71,1,226600,0.721463048,339,926.5014749,196,1602.469388
7.19,8075,857,936,346,5062,8544,6439,5150,994,12924,6699,169,163,96,93,0,38,4,31,36,49,51,42068,53,25,22,0,26535,0.630764477,100,420.68,73,576.2739726
19.06,524649,989,962,46680,347433,305503,114789,254169,43564,912287,210961,1585,1580,1585,0,0,976,61,432,558,814,979,2488003,1521,429,196,NA,1112189,0.447020763,2146,1159.367661,1469,1693.671205
14.98,484588,1017,958,43604,288554,304556,106517,249549,51926,971911,187695,854,854,854,0,0,614,50,330,602,746,760,2345685,839,417,256,NA,1044788,0.445408484,1512,1551.378968,994,2359.844064
14.47,813797,998,961,57595,445208,478883,189226,409110,81001,1458954,252605,1047,1046,1047,0,0,863,70,475,795,912,823,3491822,1039,668,391,NA,1661089,0.475708384,2098,1664.357483,1408,2479.987216
17.29,521018,974,964,56841,339163,322529,118592,282352,51608,1060051,233606,1225,1225,1225,0,0,659,58,360,803,1007,978,2670097,1215,555,274,NA,1171134,0.438611032,2044,1306.309687,1077,2479.1987
17.18,695906,933,942,104630,347414,561772,244588,909398,466744,1032298,87544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829753,NA,NA,NA,NA,2634949,0.688020611,NA,NA,NA,NA
37.41,742590,944,959,78742,404250,489521,193364,607300,260503,1264403,173203,860,860,858,0,0,422,30,225,638,713,731,3575064,839,405,238,NA,2034381,0.569047435,1482,2412.323887,677,5280.744461
13.97,688212,972,951,66105,371893,353924,128269,329607,67575,1482426,340903,1475,1468,1477,0,0,881,76,517,1044,1230,1127,3513934,1456,658,335,NA,1317521,0.374941874,2449,1434.844426,1474,2383.944369
13.55,723015,966,951,67688,474835,439802,175590,352049,85612,1308907,285759,1124,1124,1124,0,0,872,69,493,826,1020,934,3247982,1098,599,367,NA,1595643,0.491272119,2064,1573.63469,1434,2264.980474
14.63,729110,973,955,62694,428105,418774,174537,411463,99917,1277468,288769,984,984,984,0,0,826,84,521,735,864,652,3246004,971,587,340,NA,1595745,0.491602906,1898,1710.223393,1431,2268.346611
15.78,601659,975,970,40606,362116,377075,139285,275834,72950,1039322,205054,1100,1090,1100,0,0,921,44,395,609,739,604,2578927,1000,417,253,NA,1267944,0.491655638,1670,1544.267665,1360,1896.269853
8.93,582377,1014,967,59831,314768,406889,140816,236099,59134,870624,331192,1715,1713,1715,0,0,652,67,426,925,1009,1153,2537593,1645,511,273,NA,1217659,0.479848029,2429,1044.706875,1145,2216.238428
6.36,514912,1009,979,41776,256539,345163,107395,191992,54462,912375,261789,1453,1374,1455,0,0,649,56,427,903,732,822,2249254,1371,352,194,NA,997482,0.443472369,1917,1173.31977,1132,1986.973498
15.36,887003,985,976,75488,417446,577938,211419,535115,184767,1305584,297177,3091,1746,3098,0,0,1647,486,323,715,858,1129,3832336,2293,423,241,NA,2002316,0.52247924,2957,1296.021644,2456,1560.397394
7.92,947276,991,969,76849,715101,867078,239220,438313,122202,1425708,252627,844,843,845,0,0,576,66,462,750,751,720,3803517,805,425,311,NA,2458822,0.646460105,1541,2468.213498,1104,3445.214674
14.05,1011891,978,963,76918,603868,807042,269230,605480,177102,1575433,266164,948,944,948,0,0,642,64,427,838,870,832,4187841,931,482,281,NA,2539974,0.606511565,1694,2472.161157,1133,3696.240953
7.27,1077303,984,959,94688,579683,804976,241137,559524,175832,1869886,320413,694,693,694,0,0,584,71,475,664,666,628,4465144,690,423,337,NA,2455965,0.550030413,1450,3079.409655,1130,3951.454867
10.72,702559,971,954,49645,391396,512915,143921,341687,92527,1306772,230772,992,991,992,0,0,540,74,410,759,879,909,3059423,941,417,318,NA,1532126,0.500789201,1676,1825.431384,1024,2987.717773
11.18,640942,984,954,73132,375380,515113,149694,316461,93056,985312,226390,1110,1099,1110,0,0,520,65,457,842,981,1102,2668564,1053,397,266,NA,1522866,0.570668719,1716,1555.107226,1042,2561.001919
13.48,585987,974,950,61409,315821,482912,145747,323102,91650,931847,233719,875,873,875,0,0,432,74,249,671,773,712,2601797,853,342,245,NA,1420752,0.546065662,1440,1806.803472,755,3446.088742
18.14,699191,965,958,64483,396608,526192,139903,363649,101204,1500598,244622,884,884,884,0,0,634,80,395,798,782,705,3529494,877,398,224,NA,1592172,0.451104889,1499,2354.56571,1109,3182.591524
14.31,779052,958,958,46809,398372,667978,177709,380349,102827,1471218,306318,925,925,925,0,0,595,72,452,807,852,767,3640478,900,406,291,NA,1774088,0.487322819,1597,2279.572949,1119,3253.331546
