Growth..1991...2001.,Number.of.households,Sex.ratio..females.per.1000.males.,Sex.ratio..0.6.years.,Data.without.level,Below.Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Main.workers,Marginal.workers,Drinking.water.facilities,Safe.Drinking.water,Electricity..Power.Supply.,Electricity..domestic.,Electricity..Agriculture.,Medical.facility,Primary.Health.Centre,Primary.Health.Sub.Centre,Post..telegraph.and.telephone.facility,Bus.services,Paved.approach.road,Persons,Primary.school,Middle.schools,Secondary.Sr.Secondary.schools,College,Persons..literate
30.14,70167,844,959,1623,48339,62233,49731,50748,13909,100683,15948,331,293,233,148,16,102,16,78,161,187,201,314084,185,83,71,1,226600
7.19,8075,857,936,346,5062,8544,6439,5150,994,12924,6699,169,163,96,93,0,38,4,31,36,49,51,42068,53,25,22,0,26535
19.06,524649,989,962,46680,347433,305503,114789,254169,43564,912287,210961,1585,1580,1585,0,0,976,61,432,558,814,979,2488003,1521,429,196,NA,1112189
14.98,484588,1017,958,43604,288554,304556,106517,249549,51926,971911,187695,854,854,854,0,0,614,50,330,602,746,760,2345685,839,417,256,NA,1044788
14.47,813797,998,961,57595,445208,478883,189226,409110,81001,1458954,252605,1047,1046,1047,0,0,863,70,475,795,912,823,3491822,1039,668,391,NA,1661089
17.29,521018,974,964,56841,339163,322529,118592,282352,51608,1060051,233606,1225,1225,1225,0,0,659,58,360,803,1007,978,2670097,1215,555,274,NA,1171134
17.18,695906,933,942,104630,347414,561772,244588,909398,466744,1032298,87544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3829753,NA,NA,NA,NA,2634949
37.41,742590,944,959,78742,404250,489521,193364,607300,260503,1264403,173203,860,860,858,0,0,422,30,225,638,713,731,3575064,839,405,238,NA,2034381
13.97,688212,972,951,66105,371893,353924,128269,329607,67575,1482426,340903,1475,1468,1477,0,0,881,76,517,1044,1230,1127,3513934,1456,658,335,NA,1317521
13.55,723015,966,951,67688,474835,439802,175590,352049,85612,1308907,285759,1124,1124,1124,0,0,872,69,493,826,1020,934,3247982,1098,599,367,NA,1595643
14.63,729110,973,955,62694,428105,418774,174537,411463,99917,1277468,288769,984,984,984,0,0,826,84,521,735,864,652,3246004,971,587,340,NA,1595745
15.78,601659,975,970,40606,362116,377075,139285,275834,72950,1039322,205054,1100,1090,1100,0,0,921,44,395,609,739,604,2578927,1000,417,253,NA,1267944
8.93,582377,1014,967,59831,314768,406889,140816,236099,59134,870624,331192,1715,1713,1715,0,0,652,67,426,925,1009,1153,2537593,1645,511,273,NA,1217659
6.36,514912,1009,979,41776,256539,345163,107395,191992,54462,912375,261789,1453,1374,1455,0,0,649,56,427,903,732,822,2249254,1371,352,194,NA,997482
15.36,887003,985,976,75488,417446,577938,211419,535115,184767,1305584,297177,3091,1746,3098,0,0,1647,486,323,715,858,1129,3832336,2293,423,241,NA,2002316
7.92,947276,991,969,76849,715101,867078,239220,438313,122202,1425708,252627,844,843,845,0,0,576,66,462,750,751,720,3803517,805,425,311,NA,2458822
14.05,1011891,978,963,76918,603868,807042,269230,605480,177102,1575433,266164,948,944,948,0,0,642,64,427,838,870,832,4187841,931,482,281,NA,2539974
7.27,1077303,984,959,94688,579683,804976,241137,559524,175832,1869886,320413,694,693,694,0,0,584,71,475,664,666,628,4465144,690,423,337,NA,2455965
10.72,702559,971,954,49645,391396,512915,143921,341687,92527,1306772,230772,992,991,992,0,0,540,74,410,759,879,909,3059423,941,417,318,NA,1532126
11.18,640942,984,954,73132,375380,515113,149694,316461,93056,985312,226390,1110,1099,1110,0,0,520,65,457,842,981,1102,2668564,1053,397,266,NA,1522866
13.48,585987,974,950,61409,315821,482912,145747,323102,91650,931847,233719,875,873,875,0,0,432,74,249,671,773,712,2601797,853,342,245,NA,1420752
18.14,699191,965,958,64483,396608,526192,139903,363649,101204,1500598,244622,884,884,884,0,0,634,80,395,798,782,705,3529494,877,398,224,NA,1592172
14.31,779052,958,958,46809,398372,667978,177709,380349,102827,1471218,306318,925,925,925,0,0,595,72,452,807,852,767,3640478,900,406,291,NA,1774088
14.54,848607,982,954,78776,484531,769687,240584,466832,136183,1462690,290289,1479,1478,1480,0,0,683,90,545,1101,1222,1096,3745875,1365,597,346,NA,2176990
22.69,8294,782,948,496,3835,3146,2535,4535,785,18134,3593,180,159,173,172,1,23,9,0,54,59,57,38924,63,13,2,0,15337
32.21,15637,754,955,833,10517,8778,5725,9725,2108,28850,5512,213,211,168,168,0,47,7,7,15,41,43,74599,97,22,11,0,37687
13.24,12018,985,1035,290,6995,4524,2962,2783,783,23543,2406,309,284,44,43,0,89,6,5,11,40,137,57179,128,34,6,0,18338
67.21,24636,901,977,1189,15664,15056,11464,19892,6715,38401,5731,267,215,60,48,12,17,3,9,11,21,103,122003,69,25,8,1,69982
17.37,19456,983,1004,1292,10147,9338,6443,7104,1605,37473,7932,652,383,175,169,0,74,16,38,15,57,146,98244,147,75,22,0,35933
9.8,10862,960,984,236,7953,6037,3525,3732,896,21067,1348,398,252,77,77,0,26,2,17,9,58,55,55346,141,33,10,0,22379
15.17,18251,912,949,1052,16056,14264,8677,8702,2463,36843,6242,398,348,115,108,0,48,12,7,22,86,105,103918,221,66,19,1,51216
21.66,16133,931,957,634,11850,12096,7375,8782,2758,29183,4369,144,141,120,119,1,21,9,8,29,65,70,87397,116,31,18,0,43495
19.32,6849,848,1010,234,3821,3744,2481,2497,631,15395,1710,92,82,42,42,0,11,3,6,9,29,38,33363,62,15,9,0,13424
33.61,11932,836,945,399,8928,7395,4581,5211,1339,22086,3614,213,177,70,68,0,25,8,6,25,53,65,57720,55,24,12,0,27854
30.78,28537,856,933,981,21909,17174,11292,10511,2576,51049,9302,493,475,184,184,0,40,7,28,54,105,197,143527,160,36,15,0,64445
30.84,24012,906,954,1311,18470,13700,8179,7679,1952,49176,10869,336,307,277,258,1,64,7,11,45,64,195,125422,179,47,25,1,51291
17.21,18957,910,941,399,12592,8387,5230,5360,1436,43807,5267,167,151,147,145,0,41,3,19,29,48,67,100326,137,32,8,0,33404
